date,delta_pnl,gamma_pnl,vega_pnl,theta_pnl,residual_pnl
2021-09-02,0.0,6418.639892509043,-5572.601315833059,-18670.858512213348,10835.954585474363
2021-09-03,0.0,7007.683019469165,-5660.376578112131,-12742.6684415183,2793.644595271253
2021-09-06,-21464.965690044104,3385.918162297807,9995.921786243516,-17864.310814813278,-19247.987237511985
2021-09-07,0.0,420.03313755339775,1897.7835324600276,-17759.195147257917,4900.872040076469
2021-09-08,-1.8189894035458565e-12,305.59436618270547,6287.704633558935,-18838.083019612488,4816.551581002688
2021-09-09,7.275957614183426e-12,10388.836270420787,-12102.215194421351,-22621.55641303932,17545.634427994733
2021-09-10,0.0,396.65907188219865,-5014.370088262326,-13788.21187780938,7297.940303223348
2021-09-13,-37877.07278438229,9655.732149729794,24819.515183172585,-14714.92965082041,-18133.407546711707
2021-09-14,0.0,500.34215331870894,4505.373196955023,-15207.569065851216,4287.159420149937
2021-09-15,2.9103830456733704e-11,28405.08408954847,21661.613588820284,-15320.31405490381,232.69325720670167
2021-09-16,7.275957614183426e-12,1947.9569056758119,9167.254137209009,-12430.036196364117,3783.792054788035
2021-09-17,2.9103830456733704e-11,17747.078446872547,-7505.417837500518,-14934.8636088331,2191.9402107500355
2021-09-20,31200.963306107267,8013.7376189383685,46582.23174466546,-22762.877260150057,-33643.4589616488
2021-09-21,0.0,24019.57317495186,34717.503663595955,-30552.211486265212,5552.580924015405
2021-09-22,0.0,35470.48437829762,18155.298792807895,-31163.666895137132,7136.102150619539
2021-09-23,-1.4551915228366852e-11,17490.612871270125,-17397.941650839493,-25559.387372864672,19933.13405876918
2021-09-24,3.637978807091713e-12,188.176438626913,-781.1500347953308,-12264.071705613856,5871.6899839581
2021-09-27,2346.9706289888436,29.485702656755787,2451.9778011699696,-14384.302345283817,-16704.02035266797
2021-09-28,0.0,17488.878352509648,560.1343640883424,-14898.793764114109,2893.2682152955676
2021-09-29,0.0,18866.320961649973,-9005.650454878529,-20379.348708319365,2921.3414939184004
2021-09-30,-7.275957614183426e-12,13639.895929645034,23532.989605286784,-25016.769515492695,8829.410485843422
2021-10-01,8.731149137020111e-11,110026.44192989016,23523.176226629093,-20699.99353366234,-9131.962986245111
2021-10-04,-42600.46588449147,9996.532187019051,27170.99328562194,-15818.320202282794,-18623.01940949222
2021-10-05,2.9103830456733704e-11,21985.33595167268,9593.784715676213,-14607.120054616225,3543.373535668099
2021-10-06,0.0,2026.2993295544657,2900.1911726236967,-10323.820316369583,2558.2750695780705
2021-10-07,0.0,137.1215550318631,922.0463059473373,-12282.095009552542,4655.564789555472
2021-10-08,1.4551915228366852e-11,3295.0903412646303,2977.257201848022,-11136.535357832718,4782.946044253622
2021-10-11,39501.00848669409,7669.150792668597,-3310.1954460266857,-13991.626939990107,-19269.092276008378
2021-10-12,0.0,12904.61566704704,20426.633548208443,-16432.94871038135,2755.3567916487664
2021-10-13,7.275957614183426e-12,4025.863727582391,-7942.770336830597,-15009.228496207354,6932.086879008159
2021-10-14,0.0,10068.97695345798,13266.558378343632,-12242.487937965323,2568.798463995452
2021-10-15,7.275957614183426e-12,1406.2885222784355,-739.8254879828419,-9890.708740697697,4358.0891487845
2021-10-18,-1900.05199530548,17.60294947162783,8318.180713559434,-13106.067540404669,-15311.451735142282
2021-10-19,0.0,14794.223963333887,932.3056636061833,-13642.90571437367,5086.71034597019
2021-10-20,0.0,6045.2993739047115,4805.194758181402,-10157.244398102468,3457.77605048228
2021-10-21,1.4551915228366852e-11,5062.915016221591,-5170.752701869497,-8192.246931535108,1275.172110472704
2021-10-22,0.0,640.970210208555,-2721.677377785631,-9724.405923535545,2952.730552847439
2021-10-25,-34100.91118737515,6754.498503971017,16991.69379211097,-14366.395929648379,-16271.197832069702
2021-10-26,-9.094947017729282e-13,28.157641875038333,-2366.3307637431044,-13819.198907627395,4147.8615781942535
2021-10-27,0.0,25422.346869673085,-8078.519923653166,-13950.863096855292,2726.67187617757
2021-10-28,7.275957614183426e-12,6825.535628099494,11705.61296023821,-17957.50058568901,6329.308603028359
2021-10-29,-7.275957614183426e-12,2875.307071442566,-12668.587403027203,-15896.96350197023,4661.879193985529
2021-11-01,-2749.7840361639383,61.948193287570156,24717.913976615626,-20293.855365884534,-26372.71467346386
2021-11-02,-1.4551915228366852e-11,109882.34378421245,-9777.866414017559,-23405.43987321176,7806.68568888088
2021-11-03,1.8189894035458565e-12,238.47230336656762,2627.98462754722,-26839.151051106684,7379.294702573319
2021-11-04,3.637978807091713e-12,2541.44946934366,-33257.15748611102,-29329.459276438425,12843.237442693375
2021-11-05,-1.8189894035458565e-12,494.36067616067453,-19836.914108051842,-25334.11336194426,10522.31699017403
2021-11-08,8944.18306787491,15302.767067511477,11315.183327144085,-16054.118020167985,-23454.85831105993
2021-11-09,0.0,2140.193771620299,-3957.5866663639094,-21480.033268400777,7584.494764146928
2021-11-10,-1.4551915228366852e-11,34387.95898896692,-6201.204484896226,-20419.53681720354,6950.624357764638
2021-11-11,-1.8189894035458565e-12,120.36026801087647,1871.2339865861795,-13186.317739313023,3921.191644660068
2021-11-12,-7.275957614183426e-12,1249.3868809343899,-4459.884192873049,-12749.993692953398,8617.772753461879
2021-11-15,41499.007010599584,9647.315510780667,18475.41629791151,-13469.949099550277,-18298.558887347433
2021-11-16,0.0,1571.9875463180022,5771.539569916949,-16795.53704142768,4402.127729658874
2021-11-17,0.0,68.08567966474752,-14690.280125684105,-17795.92063421595,6428.843166769795
2021-11-18,-5.820766091346741e-11,102653.9722018839,600.2245870992938,-16414.32293166096,-13414.490548090107
2021-11-19,0.0,6016.760174570946,-2011.028009749742,-10981.62350609074,5591.557403249884
2021-11-22,27800.761118423732,3873.646388353974,11039.462769374932,-13330.436873952021,-16850.36323489708
2021-11-23,0.0,3644.797784943624,14519.763901598675,-15114.442573884622,4255.112690251364
2021-11-24,1.4551915228366852e-11,7972.065412740563,-8560.421305443615,-16934.96836384452,6542.363089256025
2021-11-25,-3.637978807091713e-12,1074.6629139670138,-21534.03558944504,-15313.999211305105,6447.487064761666
2021-11-26,0.0,238391.97528699308,40668.55486183146,-13756.531128913899,-84063.09671981004
2021-11-29,83652.06121636031,22150.449438539777,32987.35640954424,-12135.751769448138,-15092.212405841157
2021-11-30,0.0,17514.1816678242,16656.161831607606,-17341.69381441145,2677.735416376381
2021-12-01,1.4551915228366852e-11,3535.6608903653146,-24429.954038903234,-15356.039135487754,7982.152524224293
2021-12-02,0.0,486.9595359712375,7370.2935646889,-12532.634655837262,3191.382880710764
2021-12-03,0.0,23779.343319442767,-9284.585119710591,-12689.27026079999,5675.730794931907
2021-12-06,130553.57431313157,55968.95409912409,34980.6275519248,-14658.616991960245,-16949.618872333638
2021-12-07,1.4551915228366852e-11,39755.073889092346,3976.4006481478746,-19916.194719474406,4036.401028691471
2021-12-08,-2.1827872842550278e-11,40293.46473488447,28651.74887435283,-22375.707186698186,6354.106963775877
2021-12-09,-2.1827872842550278e-11,47178.94071124995,7430.412290033848,-29366.208079892887,1306.374212510993
2021-12-10,-3.637978807091713e-12,2967.2280792035745,-15255.218119544374,-26101.468272481005,13762.815365146591
2021-12-13,-73592.53773327725,32874.48129613413,8525.993544085963,-26713.87568119905,-34548.3551346958
2021-12-14,-7.275957614183426e-12,13886.802089105406,-740.3578767711413,-29023.430885260637,9614.92444985469
2021-12-15,1.4551915228366852e-11,37050.98131073646,35397.497665473704,-27450.737393030373,11093.55654289195
2021-12-16,9.094947017729282e-13,264.3194039658984,-49055.17683981898,-37060.52508942596,15118.8079028129
2021-12-17,-3.183231456205249e-12,1578.008299083333,-33854.7442511097,-32391.58049088372,19614.07820211669
2021-12-20,-39026.84782993621,10665.591892261953,1024.5559437583975,-24196.898227528374,-32773.2303681946
2021-12-21,-1.4551915228366852e-11,102169.50971634098,36090.39326047161,-28770.7981925502,-5586.088749281189
